City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Nelson Bay,AU,68.09,few clouds,-32.7167,152.15,Mantra Nelson Bay
271,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
281,Annau,TM,69.3,scattered clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
282,Port Lincoln,AU,60.73,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
283,Manteca,US,68.16,overcast clouds,37.7974,-121.216,Hampton Inn & Suites Manteca
285,Brazzaville,CG,73.76,thunderstorm with rain,-4.2658,15.2832,Hotel Muesse
289,Puerto Leguizamo,CO,70.2,overcast clouds,-0.1934,-74.7819,la casona de juancho
290,Beloha,MG,67.87,clear sky,-25.1667,45.05,
292,Abha,SA,64.22,few clouds,18.2164,42.5053,Abha Hotel
294,Antofagasta,CL,60.08,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
306,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
311,Posse,BR,71.29,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
314,San Angelo,US,73.11,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
316,Changji,CN,63.39,broken clouds,44.0167,87.3167,Lvye Holiday Resort
320,Oxchuc,MX,60.91,overcast clouds,16.85,-92.4167,
323,Marzuq,YE,74.35,clear sky,14.4,46.4667,
325,San Juan,AR,62.56,overcast clouds,-31.5375,-68.5364,Hotel Provincial
333,Flinders,AU,69.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
337,Akdepe,TM,71.69,light rain,42.0551,59.3788,
338,Christchurch,NZ,72.41,clear sky,-43.5333,172.6333,The George
342,Lira,UG,63.91,scattered clouds,2.235,32.9097,ST Lira Hotel Limited
343,Ilhabela,BR,69.73,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
346,Marsa Matruh,EG,61.88,clear sky,31.3525,27.2453,Beau Site
354,Cidreira,BR,63.0,broken clouds,-30.1811,-50.2056,Hotel Castelo
355,Koutsouras,GR,61.0,clear sky,35.0339,25.9469,The White Houses
360,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
362,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
363,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
365,Huarmey,PE,65.5,broken clouds,-10.0681,-78.1522,Hotel Miramar
370,Hokitika,NZ,61.23,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
372,Monte Gordo,PT,61.25,clear sky,37.1819,-7.4523,Alcazar Hotel & Spa
374,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
378,Jacareacanga,BR,73.15,broken clouds,-6.2222,-57.7528,Casa do Ian😎
381,Lucapa,AO,64.98,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
385,Malampaka,TZ,65.48,overcast clouds,-3.1333,33.5333,Ashura's Guest House
387,Colorado,BR,64.62,overcast clouds,-22.8375,-51.9731,Hotel Bandeirantes
389,Hope,US,69.85,overcast clouds,33.6671,-93.5916,Best Western Hope
391,Aswan,EG,69.57,clear sky,24.0934,32.907,Nuba Nile
395,Magrath,CA,60.51,overcast clouds,49.4167,-112.8686,Lindenbaum Bed & Breakfast
400,Gejiu,CN,63.54,broken clouds,23.306,103.1635,Yixuanzhuang Banshan Guesthouse
408,Alexandria,EG,63.88,clear sky,31.2156,29.9553,Royal Crown Hotel
412,Sao Joao Da Barra,BR,71.42,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
415,Inhambane,MZ,71.58,broken clouds,-23.865,35.3833,Oceano
423,Aketi,CD,68.16,overcast clouds,2.7388,23.7833,
424,Ambovombe,MG,67.98,clear sky,-25.1667,46.0833,RELAHARA
430,Tomatlan,MX,70.05,clear sky,19.9333,-105.25,El Salvial
433,Linxia,CN,71.91,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
434,Meteti,PA,74.46,overcast clouds,8.4983,-77.9786,Txai Mauá
439,Anage,BR,71.64,clear sky,-14.6122,-41.1356,
440,Binga,ZW,64.87,few clouds,-17.6203,27.3414,Lakeview Inn Binga
446,Blackfoot,US,61.61,overcast clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
448,Ballina,AU,73.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
459,Prainha,BR,73.8,overcast clouds,-1.8,-53.48,Casa Rocha
460,Fougamou,GA,73.87,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
462,Altay,CN,62.56,overcast clouds,47.8667,88.1167,Jinqiao Hotel
467,Bagan,RU,60.6,few clouds,54.1001,77.6646,Motel'
470,Paragominas,BR,72.03,broken clouds,-2.9667,-47.4833,INOVA
472,Armidale,AU,61.09,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
475,Kerrville,US,74.55,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
490,Vysokogornyy,RU,62.13,light rain,50.1167,139.15,
499,Mitu,CO,70.34,overcast clouds,1.1983,-70.1733,
514,Ambilobe,MG,71.74,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
515,Mirebalais,HT,72.32,broken clouds,18.8333,-72.1053,Le Jardin
518,Price,US,61.86,clear sky,39.5994,-110.8107,National 9 - Price River Inn
521,Avera,US,72.91,overcast clouds,33.194,-82.5271,
529,Gravelbourg,CA,68.27,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
536,Capelinha,BR,63.9,clear sky,-17.6914,-42.5158,Marinho Plaza Hotel
542,Sakakah,SA,60.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
543,Mwingi,KE,64.74,few clouds,-0.9344,38.0601,Thorn Tree by The Address
556,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
558,Ayagoz,KZ,68.41,clear sky,47.9714,80.4392,ХАН
559,Yaan,NG,74.53,overcast clouds,7.3833,8.5667,
564,Uruzgan,AF,68.67,clear sky,32.8333,66.0,
565,Lodja,CD,69.53,broken clouds,-3.4833,23.4333,
567,Ampanihy,MG,69.46,clear sky,-24.7,44.75,Angora Hotel
571,Sao Domingos,BR,75.0,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
573,Pingzhuang,CN,60.3,clear sky,42.0372,119.2889,Haoke Guest House
578,Tateyama,JP,66.96,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
579,Mapiripan,CO,71.24,overcast clouds,2.8892,-72.1256,Monserrate
580,La Romana,DO,73.76,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
582,Eureka,US,61.41,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
583,Carroll,US,60.12,overcast clouds,39.5501,-77.0164,Best Western Westminster Hotel
591,Upata,VE,74.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
592,Port Macquarie,AU,62.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
594,Lisala,CD,69.03,overcast clouds,2.15,21.5167,Guest house Eden
595,Zhangye,CN,74.37,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
597,Awjilah,LY,66.24,clear sky,29.1081,21.2869,المنزل
605,Uarini,BR,72.61,scattered clouds,-2.99,-65.1083,
607,Mattru,SL,73.94,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
609,Goma,CD,61.09,broken clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
611,Tocopilla,CL,64.13,clear sky,-22.092,-70.1979,Hotel Galvarino
614,Kaliua,TZ,64.02,broken clouds,-5.0606,31.7936,Millennium Complex
615,Coahuayana,MX,72.0,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
625,Gotsu,JP,70.12,few clouds,35.0,132.2167,Yurusato
628,Buenos Aires,AR,64.13,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
644,Madimba,TZ,72.95,few clouds,-10.4,40.3333,
651,Sechura,PE,68.76,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
662,Joao Pinheiro,BR,64.06,broken clouds,-17.7425,-46.1725,Hotel Santos
664,Golega,PT,60.51,clear sky,39.4047,-8.4863,Hotel Lusitano
671,Tiznit,MA,65.39,clear sky,29.5833,-9.5,
673,Colatina,BR,71.58,few clouds,-19.5394,-40.6306,Colatina Hotel
674,San Ramon,US,62.92,clear sky,37.7799,-121.978,San Ramon Marriott
675,Byron Bay,AU,73.71,overcast clouds,-28.65,153.6167,Backpackers Inn
